File Name,Line Count
zalando.txt,17188
Zangi.txt,23168
zara.txt,23112
Zello.txt,19090
Zenni.txt,34927
ZenoHealth.txt,24620
Zillow.txt,38966
Zocdoc.txt,25328
Zomato.txt,40731
Zood.txt,14439
Zulily.txt,19298
Zumpwe.txt,22654
